Time (s),Laps (#),Speed (m/s),Gear (#),Brake (%),Throttle (%),SteeringAngle (rad)
1036.3499715169055,7,8.463129043579102,1,0.0,1.0,0.055141936987638474
1036.3833048502388,7,8.665436744689941,1,0.0,1.0,0.07811766862869263
1036.416638183572,7,8.869804382324219,1,0.0,1.0,0.09601512551307678
1036.4499715169054,7,9.075138092041016,1,0.0,1.0,0.10714009404182434
1036.466638183572,7,9.177472114562988,1,0.0,1.0,0.11052607744932175
1036.4999715169054,7,9.38244342803955,1,0.0,1.0,0.11246106028556824
1036.5333048502387,7,9.587873458862305,1,0.0,1.0,0.11246107518672943
1036.566638183572,7,9.794366836547852,1,0.0,1.0,0.1129445880651474
1036.5999715169053,7,10.000226974487305,1,0.0,1.0,0.1129445880651474
1036.6333048502386,7,10.20933723449707,1,0.0,1.0,0.11487957835197449
1036.6666381835719,7,10.416597366333008,1,0.0,1.0,0.11681453883647919
1036.6999715169052,7,10.620614051818848,1,0.0,1.0,0.12020052969455719
1036.7166381835718,7,10.719655990600586,1,0.0,1.0,0.12189378589391708
1036.7499715169051,7,10.915180206298828,1,0.0,1.0,0.13011722266674042
1036.7833048502384,7,11.101326942443848,1,0.0,1.0,0.14124220609664917
1036.8166381835717,7,11.28525447845459,1,0.0,1.0,0.1557541787624359
1036.849971516905,7,11.468379020690918,1,0.0,1.0,0.17389428615570068
1036.8833048502383,7,11.652270317077637,1,0.0,1.0,0.19155044853687286
1036.9166381835716,7,11.849343299865723,1,0.0,1.0,0.20533661544322968
1036.9333048502383,7,11.943615913391113,1,0.0,1.0,0.2104162871837616
1036.9666381835716,7,12.12809944152832,1,0.0,1.0,0.21476930379867554
1036.999971516905,7,12.304387092590332,1,0.0,1.0,0.21501155197620392
1037.0333048502382,7,12.471908569335938,1,0.0,1.0,0.21476934850215912
1037.0666381835715,7,12.626337051391602,1,0.0,1.0,0.21404406428337097
1037.0999715169048,7,12.758376121520996,1,0.0,1.0,0.21404406428337097
1037.1333048502381,7,12.871110916137695,1,0.0,1.0,0.21501153707504272
1037.1666381835714,7,12.965697288513184,1,0.0,1.0,0.2174300253391266
1037.1999715169047,7,13.048798561096191,1,0.0,1.0,0.22686275839805603
1037.233304850238,7,13.128479957580566,1,0.0,1.0,0.24379411339759827
1037.2666381835713,7,13.197160720825195,1,0.0,1.0,0.2662881910800934
1037.283304850238,7,13.225299835205078,1,0.0,1.0,0.28080108761787415
1037.3166381835713,7,13.272107124328613,1,0.0,1.0,0.3105519711971283
1037.3499715169046,7,13.313765525817871,1,0.0,1.0,0.34054625034332275
1037.383304850238,7,13.352763175964355,1,0.0,1.0,0.3644927144050598
1037.4166381835712,7,13.39077091217041,1,0.0,1.0,0.39085853099823
1037.4499715169045,7,13.422799110412598,1,0.0,1.0,0.411419153213501
1037.4833048502378,7,13.445754051208496,1,0.0,1.0,0.42520758509635925
1037.516638183571,7,13.462715148925781,1,0.0,1.0,0.4370601773262024
1037.5499715169044,7,13.479503631591797,1,0.0,1.0,0.4435909390449524
1037.566638183571,7,13.487250328063965,1,0.0,1.0,0.44528502225875854
1037.5999715169044,7,13.502342224121094,1,0.0,1.0,0.4479452967643738
1037.6333048502377,7,13.504472732543945,0,0.0,1.0,0.44794532656669617
1037.6499715169043,7,13.49803638458252,0,0.0,1.0,0.4469779133796692
1037.6833048502376,7,13.53628921508789,0,0.0,1.0,0.4455264210700989
1037.716638183571,7,13.656754493713379,0,0.0,1.0,0.44407492876052856
1037.7666381835709,7,13.847661018371582,0,0.0,1.0,0.4346413314342499
1037.7833048502375,7,13.860395431518555,0,0.0,1.0,0.43004557490348816
1037.8166381835708,7,13.85015869140625,2,0.0,1.0,0.42085373401641846
1037.8499715169041,7,13.827942848205566,2,0.0,1.0,0.41238653659820557
1037.8833048502374,7,13.810218811035156,2,0.0,1.0,0.4060972034931183
1037.9166381835707,7,13.790820121765137,2,0.0,1.0,0.40053442120552063
1037.949971516904,7,13.79209041595459,2,0.0,1.0,0.39448732137680054
1037.999971516904,7,13.872918128967285,2,0.0,1.0,0.3901333510875702
1038.0333048502373,7,14.045668601989746,2,0.0,1.0,0.38553673028945923
1038.049971516904,7,14.162805557250977,2,0.0,1.0,0.38311767578125
1038.0833048502373,7,14.4155912399292,2,0.0,1.0,0.3761035203933716
1038.1166381835706,7,14.64720630645752,2,0.0,1.0,0.36497658491134644
